a_authors|a_authrating
A.B. Yehoshua/Hillel Halkin|3.6
A.D.P. Briggs/Leo Tolstoy/Fyodor Dostoyevsky|3.76
A.E. Cunningham/Harlan Ellison/Charles F. Miller/Terry Dowling/Paul Rhoads/Jack Vance/Tom Shippey/Gene Wolfe/David Langford/Dan Simmons/David Mathew|4.15
A.J. Jacobs|3.76
A.M. Homes|3.28
A.N. Roquelaure/Anne Rice|3.735
A.S. Byatt|3.77
Abbie Hoffman/Anita Hoffman|3.96
Abdul Rahman Munif/Peter Theroux|4.13
Abigail Adams/Frank Shuffelton|4.14
Abigail Thomas|3.74
Abolqasem Ferdowsi/Dick Davis/Azar Nafisi|4.51
Abraham Lincoln/Bob Blaisdell|4.15
Abraham Lincoln/Don E. Fehrenbacher|4.36
Abraham Lincoln/Gore Vidal|4.22
Abraham Lincoln/Michael McCurdy|4.53
Adam  Sexton/G. Tubach|3.4
Adam Drozdek|3.8
Adam Ginsberg|3.48
Adam Gopnik|3.76
Adam Gopnik/Omar Rayyan|3.6
Adam Hochschild|4.23666666666667
Adam Mansbach|3.55
Adam Rex|4.21
Adam Smith|3.88
Adam Smith/Robert B. Reich|3.88
Adam Swift|3.93
Adam Woog|4.0
Adolfo Bioy Casares|4.17
Adrian Guelke/Michael Cox/Fiona Stephen|4.33
Adrian McKinty|3.89666666666667
Adèle Geras/Shelagh McNicholas/Adèle Geras|3.72
Aeschylus/Alan Shapiro/Peter H. Burian|4.02
Aeschylus/David Grene/Richmond Lattimore|4.02
Aeschylus/David Grene/Richmond Lattimore/Seth Benardete|4.1
Aeschylus/David R. Slavitt/Smith Palmer Bovie|4.06
Aeschylus/Denys L. Page|4.1
Aeschylus/E.D.A. Morshead|4.06
Aeschylus/George Thomson/Richard Seaford|4.02
Aeschylus/Peter Meineck/Helene P. Foley|4.02
Aeschylus/Philip Vellacott|4.1
Aeschylus/Richmond Lattimore/David Grene|4.1
Aeschylus/Robert Fagles/William Bedell Stanford|4.02
Aeschylus/Ted Hughes|4.02
Aesop/Ann McGovern|4.05
Aesop/Laura Harris/Laura Gibbs|4.05
Agatha Christie|3.98909090909086
Agatha Christie/David Suchet|3.79
Agatha Christie/Hugh Fraser|3.822
Agatha Christie/Hugh Fraser/David Suchet|3.92
Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne|3.86
Agatha Christie/Michael Bakewell/Peter Sallis/Cyril Luckham/Edward De Souza/Rachel Gurney/Nicky Henson/Deryck Guyler|3.94
Agatha Christie/Robert Welch Herrick|4.27
Agatha Christie/Rosalind Ayres|3.8
Agatha Christie/Rosemary Leach|3.76
Ai Morinaga|3.54
Aidan Hartley|4.01
Aimee Bender|3.88
Aimé Césaire/Annette Smith/Clayton Eshleman|4.09
Aimé Césaire/Richard Miller|3.56
Akira Yoshida/Pat Lee/Paul Lee/C.B. Cebulski|3.31
Al Franken|3.85333333333333
Al Franken/Melody Beattie/Stuart Smalley|3.82
Al Gore|3.77
Al Ries/Jack Trout|4.005
Al Ries/Laura Ries|4.06
Alain de Botton|3.87
Alan  Lee/Ian McKellen|4.27
Alan Aldridge/The Beatles|4.26
Alan Brennert|4.17
Alan Cohen|4.27
Alan Dean Foster|3.74761904761904
Alan Dean Foster/George Alec Effinger/Jack McDevitt/Nina Kiriki Hoffman/Mike Resnick/R.A. Lafferty/Tobias Grace/Laura Resnick/Margaret Ball/Ron Goulart/Mel Gilden/Edward Wellen/Wolfgang Jeschke/Greg Costikyan/Esther M. Friesner/Steve Rasnic Tem|3.92
Alan Dean Foster/James Gurney|3.96
Alan Hausman/Paul Tidman|3.78
Alan Hollinghurst|3.655
Alan Lightman|3.465
Alan MacGillivray|3.92
Alan Moore/David   Lloyd|4.25
Alan Moore/John Totleben/Steve Oliff/Joe Caramagna/Michael Kelleher/Peter Milligan/Mike Allred|4.39
Alan Paton|3.9
Alastair Lamb|4.0
Albert Camus|3.97428571428571
Albert Camus/Anthony Bower/Herbert Read|4.15
Albert Camus/Carol Cosman/Orhan Pamuk|3.89
Albert Camus/Catherine Camus|3.96
Albert Camus/Ellen Conroy Kennedy/Philip Thody|4.27
Albert Camus/Jacqueline Levi-Valensi/Arthur Goldhammer/David Carroll|4.19
Albert Camus/Justin O'Brien|4.02333333333333
Albert Camus/Manuel de Lope|4.04
Albert Camus/Philip Thody/Justin O'Brien|4.28
Albert Camus/Pierre-Louis Rey/P. Morgan/E.T. Jones|4.08
Albert Camus/Richard Howard/Jean Sarocchi|3.82
Albert Camus/Robin Buss|3.98
Albert Camus/Stuart Gilbert|3.98
Albert Camus/Stuart Gilbert/Justin O'Brien/David Bellos|4.34
Albert Demeo/Mary Jane Ross|4.05
Albert Einstein/Brian Greene|4.32
Albert Einstein/Hanoch Gutfreund|4.41
Albert Einstein/Nigel Calder/Robert W. Lawson|4.18
Albert Einstein/Roger Penrose/Robert Geroch/David C. Cassidy|4.18
Albert Ellis|3.76
Albert Jack/Ann Page|3.73
Albert Marrin/C.B. Mordan|3.77
Albert Speer|4.13
Alcoholics Anonymous|4.45
Alden T. Vaughan|3.43
Aldon D. Morris|4.05
Aldous Huxley|3.94
Aldous Huxley/Christopher Hitchens|4.16
Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman|4.3
Aldous Huxley/Michael Horowitz/Cynthia Palmer|4.19
Aldous Huxley/Robert S. Baker/James Sexton|4.31
Alec MacLellan|3.84
Aleksandr Solzhenitsyn/H.T. Willetts|3.95
Aleksandr Solzhenitsyn/Nicholas Bethell/David Burg|4.21
Alex Austin|4.18
Alex C. Jones/Diane M. Hanson/Stephen K. Ray|4.27
Alex Constantine|3.58
Alex Cox/Abbe Wool|3.48
Alex Kotlowitz|4.27
Alex Ross/Geoff Spear/Chip Kidd|4.33
Alex Went|3.59
Alexander  Walker|3.8
Alexander C. Irvine|3.63
Alexander Heidel|3.95
Alexander Hunter|4.11
Alexander McCall Smith|3.89666666666667
Alexander McCall Smith/Lisette Lecat|4.08
Alexander McCall Smith/Marta Torent López de Lamadrid|3.16
Alexander Payne/Jim     Taylor|4.295
Alexander Pope/Aubrey Williams|3.97
Alexander Pope/Pat Rogers|3.87
Alexander Pushkin/Charles Johnston/John Bayley|4.09
Alexander Pushkin/Charles Johnston/Michael Basker/John Bayley|4.09
Alexander Pushkin/Douglas R. Hofstadter|4.09
Alexander Pushkin/James E. Falen|4.09
Alexander Pushkin/Tom Beck|4.09
Alexander Pushkin/Vladimir Nabokov|4.235
Alexander Pushkin/Walter W. Arndt|4.09
Alexandra Moss|3.99
Alexandra Moss/Veronica Bennett|4.07
Alexandra Robbins|3.18
Alexandra Siy/Dennis Kunkel|3.51
Alexandre Dumas fils/David Coward|3.99
Alexandre Dumas/Barbara T. Cooper|4.07
Alexandre Dumas/Brantley Johnson/Margaret Brantley|4.25
Alexandre Dumas/Julie Rose/Lorenzo Carcaterra|3.89
Alexandre Dumas/Keith Wren|4.07
Alexandre Dumas/Lorenzo Carcaterra|4.25
Alexandre Dumas/Michael Page|4.07
Alexandre Dumas/Robin Buss|3.99333333333333
Alexis de Tocqueville/Eduardo Brandão/Phillips Bradley/Luann Walther|4.17
Alexis de Tocqueville/Harvey Mansfield/Delba Winthrop|4.02
Alexis de Tocqueville/Isaac Kramnick/Gerald Bevan|4.02
Alexis de Tocqueville/John Stone/Stephen Mennell|4.12
