hr_name|hr_bookID
J.K. Rowling/Mary GrandPré|1
J.K. Rowling/Mary GrandPré|2
J.K. Rowling|4
J.K. Rowling/Mary GrandPré|5
J.K. Rowling/Mary GrandPré|8
W. Frederick Zimmerman|9
J.K. Rowling|10
Douglas Adams|12
Douglas Adams|13
Douglas Adams|14
Douglas Adams/Stephen Fry|16
Douglas Adams|18
Bill Bryson|21
Bill Bryson|22
Bill Bryson|23
Bill Bryson|24
Bill Bryson|25
Bill Bryson|26
Bill Bryson|27
Bill Bryson|28
Bill Bryson|29
J.R.R. Tolkien|30
J.R.R. Tolkien|31
J.R.R. Tolkien|34
J.R.R. Tolkien/Alan  Lee|35
Chris   Smith/Christopher  Lee/Richard Taylor|36
Jude Fisher|37
Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz|45
Gary Paulsen|50
Donna Ickes/Edward Sciranko/Keith Vasconcelles|51
Gary Paulsen|53
Molly Hatchet|54
Dale Peck|55
Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati|57
Delia Sherman|58
Patricia A. McKillip|59
Zilpha Keatley Snyder|61
Kate Horsley|63
Philippa Carr|66
Edward P. Jones|67
Edward P. Jones/Kevin R. Free|68
Edward P. Jones|69
Satyajit Das|71
Mark Smylie|72
John McPhee/William Howarth|74
John McPhee|75
John McPhee|76
John McPhee|77
John McPhee|78
John McPhee|79
John McPhee|80
John McPhee|81
John McPhee|83
Wendy Wasserstein|85
Wendy Wasserstein|86
Heidi Hayes Jacobs|89
Heidi Boyd|90
Heidi Baker/Rolland Baker|91
Heidi Hayes Jacobs|92
Johanna Spyri/Beverly Cleary/Angelo  Rinaldi|93
Heidi Hayes Jacobs|94
Rolland Baker/Heidi Baker|96
Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome|98
Heidi Fleiss/Libby Keatinge|99
Heidi Boyd|100
Frank Herbert|103
Frank Herbert|105
Frank Herbert|106
Brian Herbert|107
Frank Herbert|109
Frank Herbert/Brian Herbert/Kevin J. Anderson|110
Frank Herbert|117
Gary Russell|119
Bryce Courtenay|122
Bryce Courtenay|123
John C. Maxwell/Stephen R. Graves/Thomas G. Addington|129
Dave Lakhani|130
Louis E. Catron|131
Adam Ginsberg|132
Marsha Collier|133
Chris Malta/Lisa Suttora|135
Marsha Collier|137
Julia Wilkinson|138
Marsha Collier|139
Marsha Collier|140
Lucas Carlson/Leonard Richardson|141
Ruby Ann Boxcar|142
Ruby Ann Boxcar|144
Rob Orsini|147
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky|151
Leo Tolstoy/David Magarshack/Priscilla Meyer|152
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley|153
Marianne Sturman/Leo Tolstoy|154
Leo Tolstoy/Amy Mandelker/Constance Garnett|155
Leo Tolstoy/Louise Maude/Aylmer Maude|156
Leo Tolstoy/Constance Garnett/Amy Mandelker|157
Gloria Goldreich|159
Anthony Thorlby|160
Mulk Raj Anand/E.M. Forster|162
John Banville|163
Eliot Ness/Oscar Fraley|164
Narendra Jadhav|165
V.T. Rajshekar/Y.N. Kly|166
Vasant Moon/Gail Omvedt/Eleanor Zelliot|168
Barry R. Cournoyer|171
John Carratello/Patty Carratello/Theresa Wright|177
George Smoot/Keay Davidson|180
Madeleine L'Engle|181
Tara MacCarthy|182
Madeleine L'Engle|201
Cynthia Harrod-Eagles|204
Charles Todd|205
Ewan McGregor/Charley Boorman/Robert Uhlig|207
Daniel Abraham|208
Charles Willeford/James Lee Burke|213
Charles Willeford/Lawrence Block|214
Charles Willeford/Elmore Leonard|216
Charles Willeford|230
Tom Wolfe|231
Edward Lear/Laura Huliska-Beith/Edward Mendelson|237
Quentin Blake|244
Henry Miller/Thomas H. Moore|245
Henry Miller|247
Henry Miller/Jiří Níl|249
Henry Miller|250
Henry Miller|251
Henry Miller|252
Henry Miller|253
Henry James/Patricia Crick|264
Henry James/Gabriel Brownstein/Mary Cregan|269
Marguerite Duras|277
Marguerite Duras/Barbara Bray|278
Marguerite Duras/Richard Seever|280
Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari|285
Jean Gibran/جبران خليل جبران/Kahlil Gibran|288
Kahlil Gibran/John Walbridge/Robin Waterfield|289
Kahlil Gibran/جبران خليل جبران|290
Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris|291
Kahlil Gibran/جبران خليل جبران|292
Robert Louis Stevenson|295
Robert Louis Stevenson/Scott McKowen|296
Robert Louis Stevenson|297
Robert Louis Stevenson/N.C. Wyeth/Timothy Meis|298
Robert Louis Stevenson/Milo Winter|299
Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson|302
Ralph Ginzburg|313
Gabriel García Márquez|324
Dr. Seuss|330
Debbie Raleigh|332
Kevin Henkes|333
Patrick Süskind|337
Robert A. Heinlein|348
Robert A. Heinlein|350
Robert A. Heinlein|354
Robert A. Heinlein|355
Robert A. Heinlein|356
Douglas Adams|357
Douglas Adams|359
Nick  Webb|362
Terry Jones|367
Douglas Adams/Christopher Cerf|377
Susan Nanus/Norton Juster|382
Harry G. Frankfurt|385
Nick Flynn|386
Garry Wills|394
Abraham Lincoln/Michael McCurdy|397
Don DeLillo|399
Don DeLillo|400
Don DeLillo|403
Don DeLillo|404
Don DeLillo|406
Don DeLillo|407
Don DeLillo|408
Thomas Pynchon|409
Thomas Pynchon|410
Thomas Pynchon|411
Thomas Pynchon|412
Thomas Pynchon/Christophe Claro/Brice Matthieussent|413
Thomas Pynchon|414
Thomas Pynchon|415
Thomas Pynchon|416
Richard Fariña/Thomas Pynchon|418
Joan Didion|420
Joan Didion|421
Joan Didion|422
Joan Didion|423
Joan Didion|424
Joan Didion|425
Joan Didion/John Leonard|426
Joan Didion/David Thomson|428
Paul Auster/Art Spiegelman/Luc Sante|431
Paul Auster|432
Paul Auster|434
Paul Auster|435
Peter Moon/Preston B. Nichols/Nina Helms|444
Paul Auster|446
Paul Auster|447
Paul Auster|453
Paul Auster|454
Paul Auster|456
Paul Auster|463
Paul Auster|466
Jared Diamond|475
Stephen Leeb/Glen C. Strathy|476
Joseph A. Tainter|477
Robert D. Putnam|478
Philip K. Howard|481
Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco|484
Nikola Tesla|493
Marc J.  Seifer/William H. Terbo|494
Carol Dommermuth-Costa|497
Nikola Tesla/David Hatcher Childress|498
Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye|511
Dave Thomas/Chad Fowler/Andy Hunt|515
Maureen Kelly/CliffsNotes/William Golding|523
William Golding|524
Victor Davis Hanson|531
