p_name|p_bookID|p_authname|p_date
Scholastic Inc.|1|J.K. Rowling/Mary GrandPré|9/16/2006
Scholastic Inc.|2|J.K. Rowling/Mary GrandPré|9/1/2004
Scholastic|4|J.K. Rowling|11/1/2003
Scholastic Inc.|5|J.K. Rowling/Mary GrandPré|5/1/2004
Scholastic|8|J.K. Rowling/Mary GrandPré|9/13/2004
Nimble Books|9|W. Frederick Zimmerman|4/26/2005
Scholastic|10|J.K. Rowling|9/12/2005
Gramercy Books|12|Douglas Adams|11/1/2005
Del Rey Books|13|Douglas Adams|4/30/2002
Crown|14|Douglas Adams|8/3/2004
Random House Audio|16|Douglas Adams/Stephen Fry|3/23/2005
Wings Books|18|Douglas Adams|1/17/1996
Broadway Books|21|Bill Bryson|9/14/2004
Broadway Books|22|Bill Bryson|12/3/2002
Broadway Books|23|Bill Bryson|9/14/2004
Broadway Books|24|Bill Bryson|5/15/2001
Broadway Books|25|Bill Bryson|6/28/2000
William Morrow Paperbacks|26|Bill Bryson|8/28/1990
William Morrow Paperbacks|27|Bill Bryson|3/28/1993
William Morrow Paperbacks|28|Bill Bryson|5/28/1997
William Morrow Paperbacks|29|Bill Bryson|9/28/1991
Ballantine Books|30|J.R.R. Tolkien|9/25/2012
Houghton Mifflin Harcourt|31|J.R.R. Tolkien|10/21/2004
Houghton Mifflin Harcourt|34|J.R.R. Tolkien|9/5/2003
Houghton Mifflin Harcourt|35|J.R.R. Tolkien/Alan  Lee|10/1/2002
Houghton Mifflin Harcourt|36|Chris   Smith/Christopher  Lee/Richard Taylor|11/5/2003
Houghton Mifflin Harcourt|37|Jude Fisher|11/15/2004
Pragmatic Bookshelf|45|Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz|7/28/2005
Atheneum Books for Young Readers: Richard Jackson Books|50|Gary Paulsen|4/1/2000
Teacher Created Resources|51|Donna Ickes/Edward Sciranko/Keith Vasconcelles|8/28/1994
Delacorte Press|53|Gary Paulsen|1/23/2001
Cherry Lane Music Company|54|Molly Hatchet|6/10/2003
The New Press|55|Dale Peck|11/1/2005
Changeling Press|57|Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati|11/1/2005
Viking Juvenile|58|Delia Sherman|8/17/2006
Firebird|59|Patricia A. McKillip|4/14/2003
iUniverse|61|Zilpha Keatley Snyder|6/8/2004
Shambhala|63|Kate Horsley|4/12/2005
Ivy Books|66|Philippa Carr|8/28/1990
Amistad|67|Edward P. Jones|8/29/2006
HarperAudio|68|Edward P. Jones/Kevin R. Free|6/15/2004
Harper|69|Edward P. Jones|6/15/2004
FT Press|71|Satyajit Das|5/15/2006
Archaia|72|Mark Smylie|12/14/2005
Farrar  Straus and Giroux|74|John McPhee/William Howarth|6/1/1982
Farrar Straus Giroux|75|John McPhee|5/16/2006
Farrar  Straus and Giroux|76|John McPhee|4/1/1986
Farrar  Straus and Giroux|77|John McPhee|9/1/1990
Farrar  Straus and Giroux|78|John McPhee|1/6/1999
Farrar  Straus and Giroux|79|John McPhee|4/1/1991
Farrar  Straus and Giroux|80|John McPhee|4/1/1994
Farrar  Straus and Giroux|81|John McPhee|4/1/1994
Farrar  Straus and Giroux|83|John McPhee|11/1/1987
Dramatists Play Service|85|Wendy Wasserstein|3/1/2002
Vintage|86|Wendy Wasserstein|7/2/1991
Routledge|89|Heidi Hayes Jacobs|3/29/2006
North Light Books|90|Heidi Boyd|3/14/2006
Chosen Books|91|Heidi Baker/Rolland Baker|9/1/2003
Association for Supervision & Curriculum Development|92|Heidi Hayes Jacobs|1/28/1997
Kingfisher|93|Johanna Spyri/Beverly Cleary/Angelo  Rinaldi|11/15/2002
ASCD|94|Heidi Hayes Jacobs|11/15/2004
Sovereign World|96|Rolland Baker/Heidi Baker|4/28/2003
Workman Publishing Company|98|Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome|10/16/2003
One Hour Entertainment|99|Heidi Fleiss/Libby Keatinge|5/10/2004
North Light Books|100|Heidi Boyd|8/19/2004
Ace Books|103|Frank Herbert|6/15/1987
Ace Books|105|Frank Herbert|7/1/1987
Ace Books|106|Frank Herbert|7/15/1987
Tor Books|107|Brian Herbert|7/1/2004
Putnam|109|Frank Herbert|4/16/1984
Tor Science Fiction|110|Frank Herbert/Brian Herbert/Kevin J. Anderson|8/29/2006
Ace Books|117|Frank Herbert|8/15/1987
Houghton Mifflin Harcourt|119|Gary Russell|6/12/2002
Ballantine Books|122|Bryce Courtenay|9/29/1996
Delacorte Books for Young Readers|123|Bryce Courtenay|9/13/2005
Thomas Nelson|129|John C. Maxwell/Stephen R. Graves/Thomas G. Addington|11/1/2004
Wiley|130|Dave Lakhani|5/19/2006
Heinemann Drama|131|Louis E. Catron|2/7/2000
William Morrow Paperbacks|132|Adam Ginsberg|5/3/2005
Wiley|133|Marsha Collier|10/30/2006
McGraw-Hill|135|Chris Malta/Lisa Suttora|1/24/2006
Wiley|137|Marsha Collier|9/17/2004
Wiley|138|Julia Wilkinson|6/6/2006
Wiley|139|Marsha Collier|5/31/2004
Wiley|140|Marsha Collier|4/25/2005
O'Reilly Media|141|Lucas Carlson/Leonard Richardson|7/29/2006
Citadel|142|Ruby Ann Boxcar|5/3/2005
Citadel|144|Ruby Ann Boxcar|5/3/2005
O'Reilly Media|147|Rob Orsini|1/1/2007
Penguin Classics|151|Leo Tolstoy/Richard Pevear/Larissa Volokhonsky|5/31/2004
Signet|152|Leo Tolstoy/David Magarshack/Priscilla Meyer|11/5/2002
Penguin Books|153|Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley|1/30/2003
Cliffs Notes|154|Marianne Sturman/Leo Tolstoy|11/26/1965
Barnes & Noble Classics|155|Leo Tolstoy/Amy Mandelker/Constance Garnett|7/1/2003
Dover Publications|156|Leo Tolstoy/Louise Maude/Aylmer Maude|11/23/2004
Barnes & Noble|157|Leo Tolstoy/Constance Garnett/Amy Mandelker|8/26/2004
Mira Books|159|Gloria Goldreich|1/28/2006
Cambridge University Press|160|Anthony Thorlby|11/26/1987
Penguin Books|162|Mulk Raj Anand/E.M. Forster|7/3/1990
Vintage|163|John Banville|6/30/1998
Buccaneer Books|164|Eliot Ness/Oscar Fraley|2/1/1996
Scribner|165|Narendra Jadhav|9/27/2005
Clarity Press|166|V.T. Rajshekar/Y.N. Kly|1/28/1995
Rowman & Littlefield Publishers|168|Vasant Moon/Gail Omvedt/Eleanor Zelliot|12/20/2000
Pearson|171|Barry R. Cournoyer|9/22/2003
Teacher Created Resources|177|John Carratello/Patty Carratello/Theresa Wright|9/28/1991
Harper Perennial|180|George Smoot/Keay Davidson|10/1/1994
EMC/Paradigm Publishing|181|Madeleine L'Engle|5/1/2002
Teaching Resources|182|Tara MacCarthy|1/1/2002
Turtleback Books|201|Madeleine L'Engle|6/1/1984
Little  Brown Book Group|204|Cynthia Harrod-Eagles|6/1/1994
William Morrow|205|Charles Todd|1/3/2006
Atria Books|207|Ewan McGregor/Charley Boorman/Robert Uhlig|11/1/2005
Tor Books|208|Daniel Abraham|3/7/2006
Vintage Crime/Black Lizard|213|Charles Willeford/James Lee Burke|8/10/2004
Vintage Crime/Black Lizard|214|Charles Willeford/Lawrence Block|3/8/2005
Vintage Crime/Black Lizard|216|Charles Willeford/Elmore Leonard|8/10/2004
Vintage|230|Charles Willeford|10/3/1990
Picador USA|231|Tom Wolfe|8/30/2005
Sterling|237|Edward Lear/Laura Huliska-Beith/Edward Mendelson|10/1/2001
Puffin|244|Quentin Blake|10/3/1996
New Directions Publishing|245|Henry Miller/Thomas H. Moore|2/1/1964
Grove Press|247|Henry Miller|1/13/1994
Grove Press|249|Henry Miller/Jiří Níl|1/6/1994
Grove Press|250|Henry Miller|1/13/1994
Grove Press|251|Henry Miller|1/13/1994
Grove Press|252|Henry Miller|1/12/1994
New Directions|253|Henry Miller|1/17/1970
Penguin Classics|264|Henry James/Patricia Crick|9/30/2003
Barnes  Noble Classics|269|Henry James/Gabriel Brownstein/Mary Cregan|1/16/2004
Brookline Books|277|Marguerite Duras|5/6/1999
The New Press|278|Marguerite Duras/Barbara Bray|8/1/1994
Pantheon|280|Marguerite Duras/Richard Seever|3/12/1986
One World (UK)|285|Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari|7/1/1999
Interlink Publishing Group|288|Jean Gibran/جبران خليل جبران/Kahlil Gibran|4/1/1998
Penguin Books|289|Kahlil Gibran/John Walbridge/Robin Waterfield|1/1/1998
Knopf|290|Kahlil Gibran/جبران خليل جبران|2/21/1995
Citadel|291|Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris|3/3/2003
Knopf|292|Kahlil Gibran/جبران خليل جبران|6/14/2011
Kingfisher|295|Robert Louis Stevenson|9/15/2001
