r_bookID|r_title|r_avgbookrating
1|Harry Potter and the Half-Blood Prince (Harry Potter  #6)|4.57
2|Harry Potter and the Order of the Phoenix (Harry Potter  #5)|4.49
4|Harry Potter and the Chamber of Secrets (Harry Potter  #2)|4.42
5|Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)|4.56
8|Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5)|4.78
9|"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation"|3.74
10|Harry Potter Collection (Harry Potter  #1-6)|4.73
12|The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5)|4.38
13|The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5)|4.38
14|The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)|4.22
16|The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)|4.22
18|The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5)|4.38
21|A Short History of Nearly Everything|4.21
22|Bill Bryson's African Diary|3.44
23|Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right|3.87
24|In a Sunburned Country|4.07
25|I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away|3.90
26|The Lost Continent: Travels in Small Town America|3.83
27|Neither Here nor There: Travels in Europe|3.86
28|Notes from a Small Island|3.91
29|The Mother Tongue: English and How It Got That Way|3.93
30|J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings|4.59
31|The Lord of the Rings (The Lord of the Rings  #1-3)|4.50
34|The Fellowship of the Ring (The Lord of the Rings  #1)|4.36
35|The Lord of the Rings (The Lord of the Rings  #1-3)|4.50
36|The Lord of the Rings: Weapons and Warfare|4.53
37|The Lord of the Rings: Complete Visual Companion|4.50
45|Agile Web Development with Rails: A Pragmatic Guide|3.84
50|Hatchet (Brian's Saga  #1)|3.72
51|"Hatchet: A Guide for Using ""Hatchet"" in the Classroom"|4.00
53|Guts: The True Stories behind Hatchet and the Brian Books|3.88
54|Molly Hatchet - 5 of the Best|4.33
55|Hatchet Jobs: Writings on Contemporary Fiction|3.45
57|A Changeling for All Seasons (Changeling Seasons #1)|3.76
58|Changeling (Changeling  #1)|3.60
59|The Changeling Sea|4.06
61|The Changeling|4.17
63|The Changeling|3.55
66|The Changeling (Daughters of England  #15)|3.98
67|The Known World|3.83
68|The Known World|3.83
69|The Known World|3.83
71|Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives|3.83
72|Artesia: Adventures in the Known World|4.13
74|The John McPhee Reader (John McPhee Reader  #1)|4.42
75|Uncommon Carriers|3.95
76|Heirs of General Practice|4.17
77|The Control of Nature|4.24
78|Annals of the Former World|4.34
79|Coming Into the Country|4.22
80|La Place de la Concorde Suisse|3.92
81|Giving Good Weight|4.23
83|Rising from the Plains|4.23
85|The Heidi Chronicles|3.75
86|The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic|3.84
89|Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening|3.94
90|Simply Beautiful Beaded Jewelry|3.77
91|Always Enough: God's Miraculous Provision Among the Poorest Children on Earth|4.46
92|Mapping the Big Picture: Integrating Curriculum & Assessment K-12|3.68
93|Heidi (Heidi  #1-2)|3.99
94|Getting Results with Curriculum Mapping|3.25
96|There's Always Enough: The Miraculous Move of God in Mozambique|4.46
98|What to Expect the First Year (What to Expect)|3.89
99|The Player's Handbook: The Ultimate Guide on Dating and Relationships|3.82
100|Simply Beautiful Beading: 53 Quick and Easy Projects|3.78
103|God Emperor of Dune (Dune Chronicles  #4)|3.84
105|Chapterhouse: Dune (Dune Chronicles #6)|3.91
106|Dune Messiah (Dune Chronicles #2)|3.88
107|Dreamer of Dune: The Biography of Frank Herbert|4.01
109|Heretics of Dune (Dune Chronicles  #5)|3.86
110|The Road to Dune|3.88
117|Heretics of Dune (Dune Chronicles #5)|3.86
119|The Lord of the Rings: The Art of the Fellowship of the Ring|4.59
122|The Power of One (The Power of One  #1)|4.35
123|The Power of One (The Power of One  #1)|4.35
129|The Power of One: One Person  One Rule  One Month|4.28
130|Power of an Hour: Business and Life Mastery in One Hour a Week|3.34
131|The Power of One: The Solo Play for Playwrights  Actors  and Directors|3.67
132|How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days|3.48
133|eBay for Dummies|3.50
135|What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond|3.62
137|Starting an eBay Business for Dummies|3.55
138|eBay: Top 100 Simplified Tips & Tricks|4.27
139|ebay Timesaving Techniques for Dummies|3.39
140|eBay Business All-in-One Desk Reference for Dummies|3.89
141|Ruby Cookbook|3.84
142|Ruby Ann's Down Home Trailer Park Cookbook|4.12
144|Ruby Ann's Down Home Trailer Park BBQin' Cookbook|4.08
147|Rails Cookbook: Recipes for Rapid Web Development with Ruby|3.48
151|Anna Karenina|4.05
152|Anna Karenina|4.05
153|Anna Karenina|4.05
154|CliffsNotes on Tolstoy's Anna Karenina|3.85
155|Anna Karenina|4.05
156|Anna Karenina|4.05
157|Anna Karenina|4.05
159|Dinner with Anna Karenina|2.99
160|Tolstoy: Anna Karenina|4.19
162|Untouchable|3.71
163|The Untouchable|3.95
164|The Untouchables|3.89
165|Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India|3.82
166|Dalit: The Black Untaouchables of India|4.20
168|Growing Up Untouchable in India: A Dalit Autobiography|3.65
171|The Evidence-Based Social Work Skills Book|3.40
177|"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom"|4.00
180|Wrinkles in Time|4.01
181|A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)|4.00
182|Literature Circle Guide: A Wrinkle in Time|3.60
201|Una arruga en el tiempo – A Wrinkle in Time|4.00
204|The Long Shadow (The Morland Dynasty  #6)|4.12
205|A Long Shadow (Inspector Ian Rutledge  #8)|4.11
207|Long Way Round: Chasing Shadows Across the World|3.94
208|A Shadow in Summer (Long Price Quartet  #1)|3.60
